Cod_setor;V011
240325105000037;700,4
240325105000038;583,07
240325105000039;673,54
240325105000040;827,24
240325105000041;524,4
240325105000042;545,73
240325105000043;864,19
240325105000044;887,82
240325105000045;694,3
240325105000046;834,26
240325105000047;678,8
240325105000048;718,11
240325105000049;1586,84
240325105000050;1314,74
240325105000051;2332,8
240325105000052;728,06
240325105000053;1300,16
240325105000054;1476,89
240325105000055;1497,15
240325105000056;1175,56
240325105000057;1123,79
240325105000058;2102,63
240325105000059;2917,24
240325105000060;1726,69
240325105000061;1779,4
240325105000062;2466,7
240325105000063;1374,95
240325105000064;1873,26
240325105000065;1694,38
240325105000066;1978,27
240325105000067;1596,12
240325105000068;3421,74
240325105000069;1104,09
240325105000070;2957,44
240325105000071;1907,1
240325105000072;2699,24
240325105000073;1796,83
240325105000074;1910,74
240325105000075;1932,85
240325105000076;3622,18
240325105000077;4296,83
240325105000078;728,86
240325105000079;888,8
240325105000080;1040,6
240325105000081;738,18
240325105000082;2034,9
240325105000083;1566,98
240325105000084;1077,71
240325105000085;2052,99
240325105000086;3712,25
240325105000087;1657,62
240325105000088;622,11
240325105000089;1237,04
240325105000090;2019,53
240325105000091;3143,03
240325105000092;1799,94
240325105000093;2418,29
240325105000094;2726,71
240325105000095;3931,56
240325105000096;2343,18
240325105000097;1466,29
240325105000098;2874,04
240325105000099;930,84
240325105000100;917,5
240325105000101;3571,09
240325105000102;725,6
240325105000103;569,75
240325105000104;495,63
240325105000105;531,45
240325105000106;670,37
240325105000107;1133,05
240325105000108;1377,28
240325105000109;1323,18
240325105000110;1025,18
240325105000111;1142,79
240325105000112;1198,77
240325105000113;844,21
240325105000114;738,44
240325105000115;462,84
240325105000116;693,7
240325105000118;1918,72
240325105000119;1346,34
240325105000120;2800
240325105000121;5711,93
240325105000122;843,05
240325105000123;1077,54
240325105000124;818,42
240325105000125;818,41
240325105000126;776,46
240325105000127;876,67
240325105000128;930,11
240325105000129;551,54
240325105000130;735,09
240325105000131;793,41
240325105000132;686,76
240325105000133;605,48
240325105000134;1560,38
240325105000135;2069,1
240325105000136;998,79
240325105000137;862,27
240325105000138;840,62
240325105000139;1567,94
240325105000140;1390,29
240325105000141;2240,02
240325105000142;1766,75
240325105000143;1701,81
240325105000144;1101,64
240325105000145;1000,98
240325105000146;1395,81
240325105000147;814,91
240325105000148;459,1
240325105000149;534,98
240325105000150;971,49
240325105000151;639,31
240325105000152;993,52
240325105000153;941,96
240325105000154;884,53
240325105000155;1842,28
240325105000156;938,25
240325105000157;816,31
240325105000158;817,03
240325105000159;978,98
240325105000160;731,98
240325105000161;940,75
240325105000162;1082,3
240325105000163;715,02
240325105000164;869,9
240325105000165;612,97
240325105000166;505,84
240325105000167;584,08
240325105000168;632,72
240325105000169;785,43
240325105000170;1461,93
240325105000171;1929,56
240325105000172;1582,56
240325105000173;899,35
240325105000174;1681,78
240325105000175;1786,21
240325105000176;1233,69
240325105000177;2372,05
240325105000178;2416,77
240325105000179;922,13
240325105000180;2312,48
240325105000181;2217,82
240325105000182;1857,52
240325105000183;2484,55
240325105000184;637,61
240325105000185;1800,41
240325105000186;2144,62
240325105000187;2683,96
240325105000188;2325,69
240325105000189;623,64
240325105000190;557,67
240325105000191;954,18
240325105000192;689,31
240325105000193;1090,52
240325105000194;882,95
240325105000195;790,92
240325105000196;570,46
240325105000197;1053,11
240325105000198;878,95
240325105000199;1812,69
240325105000200;814,88
240325105000201;1622,47
240325105000202;3451,98
240325105000203;2053,01
240325105000204;2673,18
240325105000205;1839,17
240325105000206;600,3
240325105000207;883,6
240325105000208;1052,36
240325105000209;1245,36
240325105000210;833,56
240325105000211;1442,04
240325105000212;1176,05
240325105000213;2450,97
240325105000214;763,27
240325105000215;1776,76
240330105000001;645,08
240330105000002;538,05
240330105000003;461,22
240330105000004;477,5
