ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi520;-35,3024;-5,7031;-54,61574357;-20,45802999
boi521;-35,3024;-5,7031;-56,11000525;-13,83272569
boi522;-35,3024;-5,7031;-53,97438734;-25,23792101
boi523;-37,0905;-6,4511;-46,82124801;-22,4360055
boi525;-37,0905;-6,4511;-47,26580273;-22,822145
boi526;-37,0905;-6,4511;-54,61574357;-20,45802999
boi527;-37,0905;-6,4511;-51,22367299;-27,39905298
boi528;-37,0905;-6,4511;-54,61574357;-20,45802999
boi529;-37,0905;-6,4511;-46,82124801;-22,4360055
boi530;-37,0905;-6,4511;-47,26580273;-22,822145
boi531;-37,0905;-6,4511;-47,07154764;-23,43004085
boi532;-37,0905;-6,4511;-46,78881014;-23,533612
boi533;-37,0905;-6,4511;-34,91058339;-7,82837199
boi534;-37,0905;-6,4511;-46,82124801;-22,4360055
boi535;-37,0905;-6,4511;-54,56456909;-19,39552137
boi536;-37,0905;-6,4511;-54,81128912;-22,22723554
boi537;-37,0905;-6,4511;-50,92968093;-17,7945434
boi538;-37,0905;-6,4511;-46,78881014;-23,533612
boi539;-37,0905;-6,4511;-46,78881014;-23,533612
boi540;-37,0905;-6,4511;-49,63526941;-6,917778413
boi541;-37,0905;-6,4511;-41,908636;-21,57727671
boi542;-37,0905;-6,4511;-50,43015506;-6,772978677
boi543;-37,0905;-6,4511;-50,20197358;-19,73194752
boi544;-37,0905;-6,4511;-49,63526941;-6,917778413
boi545;-35,264;-5,9287;-50,5503562;-20,26785305
boi546;-35,264;-5,9287;-47,26580273;-22,822145
boi547;-35,264;-5,9287;-54,56456909;-19,39552137
boi548;-35,264;-5,9287;-46,82124801;-22,4360055
boi549;-35,264;-5,9287;-54,61574357;-20,45802999
boi550;-35,264;-5,9287;-34,91058339;-7,82837199
boi551;-35,264;-5,9287;-50,5503562;-20,26785305
boi552;-35,264;-5,9287;-35,48996498;-6,852715
boi553;-35,264;-5,9287;-52,0867697;-32,05044579
boi554;-35,264;-5,9287;-56,79796312;-14,09555753
boi555;-35,264;-5,9287;-48,20870525;-7,19132894
boi556;-35,264;-5,9287;-50,61128172;-9,364055729
boi557;-35,264;-5,9287;-52,25269763;-7,233364916
boi558;-35,264;-5,9287;-50,43015506;-6,772978677
boi559;-35,264;-5,9287;-53,35157381;-22,24875931
boi560;-35,264;-5,9287;-50,43015506;-6,772978677
boi561;-37,0905;-6,451;-52,33555;-14,0477016
boi562;-37,0905;-6,451;-58,4173358;-15,2236652
boi563;-37,0905;-6,451;-34,88894194;-8,062762483
boi564;-37,0905;-6,451;-35,37613082;-8,51111604
boi565;-37,1088;-6,4666;-54,61574357;-20,45802999
boi566;-37,1088;-6,4666;-52,33555;-14,0477016
boi567;-37,1088;-6,4666;-50,92968093;-17,7945434
boi568;-37,1088;-6,4666;-54,09178213;-25,2924975
boi569;-37,1088;-6,4666;-46,82124801;-22,4360055
boi570;-37,1088;-6,4666;-46,78881014;-23,533612
boi571;-37,1088;-6,4666;-46,82124801;-22,4360055
boi572;-37,1088;-6,4666;-51,40520808;-26,90316461
boi573;-37,0698;-6,4801;-56,14466374;-15,65806482
boi574;-37,0698;-6,4801;-50,92968093;-17,7945434
boi575;-37,0698;-6,4801;-34,91058339;-7,82837199
boi576;-37,0698;-6,4801;-54,81128912;-22,22723554
boi577;-37,0698;-6,4801;-46,82124801;-22,4360055
boi578;-37,0698;-6,4801;-48,748223;-6,189251148
boi579;-37,0698;-6,4801;-51,69805748;-10,40327408
boi580;-37,0698;-6,4801;-50,61128172;-9,364055729
boi581;-37,0698;-6,4801;-51,69805748;-10,40327408
boi582;-37,0698;-6,4801;-61,1742191;-11,6959639
